#Num	#Type	#Forme	#POS	#Lemme	#POS	#MORPH	#REL(ID_Gouv)	#PAUSE
1	forme	f	ADV	_	ADV	_	MOD(5)	_
2	delim	 	BLANK	BLANK	_	_	_	_
3	forme	out	ADV	out	ADV	_	MOD(5)	P
4	delim	 	BLANK	BLANK	_	_	_	_
5	forme	out	ADV	out	ADV	_	_()	P
6	delim	 	BLANK	BLANK	_	_	_	_
7	forme	sortie	NC	sortie	NC	n=s|g=f	_()	P
8	delim	 	BLANK	BLANK	_	_	_	_
9	delim	§	DELIM	§	_	_	_	_
10	delim	 	BLANK	BLANK	_	_	_	_
11	forme	Dans	P	dans	P	_	_()	P
12	delim	 	BLANK	BLANK	_	_	_	_
13	forme	l'	DET	le	DET	n=s	DET(15)	P
14	delim	 	BLANK	BLANK	_	_	_	_
15	forme	Arc	NPP	_	NPP	_	PREP(11)	_
16	delim	 	BLANK	BLANK	_	_	_	_
17	forme	tiquel	NPP	_	NPP	_	MOD(15)	P
18	delim	 	BLANK	BLANK	_	_	_	_
19	forme		PONCT	'	_	_	_	P
20	delim	 	BLANK	BLANK	_	_	_	_
21	forme	aperçois	NC	_	NC	_	MOD(15)	_
22	delim	 	BLANK	BLANK	_	_	_	_
23	forme	réalise	V	réaliser	V	n=s|t=P,S|p=1,3	MOD_REL(15)	P
24	delim	 	BLANK	BLANK	_	_	_	_
25	delim	§	DELIM	§	_	_	_	_
26	delim	 	BLANK	BLANK	_	_	_	_
27	forme	De	P	de	P	_	_()	P
28	delim	 	BLANK	BLANK	_	_	_	_
29	forme	plus	ADV	plus	ADV	_	MOD(33)	_
30	delim	 	BLANK	BLANK	_	_	_	_
31	forme	d'	P	de	P	_	DET(33)	P
32	delim	 	BLANK	BLANK	_	_	_	_
33	forme	amérique	NC	_	NC	_	PREP(27)	_
34	delim	 	BLANK	BLANK	_	_	_	_
35	forme	du	P+D	de	P+D	n=s|g=m	DEP(33)	_
36	delim	 	BLANK	BLANK	_	_	_	_
37	forme	Nord	NPP	Nord	NPP	n=s|g=m	PREP(35)	_
38	delim	 	BLANK	BLANK	_	_	_	_
39	forme	A	NPP	_	NPP	_	MOD(33)	P
40	delim	 	BLANK	BLANK	_	_	_	_
41	forme	et	CC	et	CC	_	COORD(33)	P
42	delim	 	BLANK	BLANK	_	_	_	_
43	forme	gui	NC	gui	NC	n=s|g=m	DEP_COORD(41)	P
44	delim	 	BLANK	BLANK	_	_	_	_
45	forme	rgy	NPP	_	NPP	_	MOD(43)	P
46	delim	 	BLANK	BLANK	_	_	_	_
47	forme	ant	NPP	_	NPP	_	MOD(43)	P
48	delim	 	BLANK	BLANK	_	_	_	_
49	forme	u	NPP	_	NPP	_	MOD(43)	P
50	delim	 	BLANK	BLANK	_	_	_	_
51	forme	3	ET	3	ET	_	DEP(49)	P
52	delim	 	BLANK	BLANK	_	_	_	_
53	forme	sks	ET	_	ET	_	DEP(49)	P
54	delim	 	BLANK	BLANK	_	_	_	_
55	forme	walking	ET	_	ET	_	DEP(49)	P
56	delim	 	BLANK	BLANK	_	_	_	_
57	forme	dead	ET	_	ET	_	_()	_
58	delim	 	BLANK	BLANK	_	_	_	_
59	forme	the	ET	_	ET	_	_()	P
60	delim	 	BLANK	BLANK	_	_	_	_
61	forme	young	ET	_	ET	_	_()	_
62	delim	 	BLANK	BLANK	_	_	_	_
63	forme	po	ET	_	ET	_	_()	_
64	delim	 	BLANK	BLANK	_	_	_	_
65	forme	th	ET	_	ET	_	_()	P
66	delim	 	BLANK	BLANK	_	_	_	_
67	forme	the	ET	_	ET	_	_()	P
68	delim	 	BLANK	BLANK	_	_	_	_
69	forme	young	ET	_	ET	_	_()	_
70	delim	 	BLANK	BLANK	_	_	_	_
71	forme	pope	NC	pope	NC	n=s|g=m	_()	_
72	delim	 	BLANK	BLANK	_	_	_	_
73	forme	hwo	NPP	_	NPP	_	MOD(71)	P
74	delim	 	BLANK	BLANK	_	_	_	_
75	forme	how	NPP	_	NPP	_	MOD(71)	P
76	delim	 	BLANK	BLANK	_	_	_	_
77	forme	how	NPP	_	NPP	_	MOD(71)	P
78	delim	 	BLANK	BLANK	_	_	_	_
79	forme	i	NPP	_	NPP	_	MOD(71)	_
80	delim	 	BLANK	BLANK	_	_	_	_
81	delim	§	DELIM	§	_	_	_	_
82	delim	 	BLANK	BLANK	_	_	_	_
83	forme	these	ADJ	_	ADJ	_	MOD(85)	_
84	delim	 	BLANK	BLANK	_	_	_	_
85	forme	routard	NC	routard	NC	n=s|g=m	SUJ(87)	P
86	delim	 	BLANK	BLANK	_	_	_	_
87	forme	a	V	avoir	V	n=s|t=P|p=3	ROOT	P
88	delim	 	BLANK	BLANK	_	_	_	_
89	forme	tassimo	ADV	_	ADV	_	MOD(87)	P
90	delim	 	BLANK	BLANK	_	_	_	_
91	forme	capsule	NC	capsule	NC	n=s|g=f	OBJ(87)	P
92	delim	 	BLANK	BLANK	_	_	_	_
93	forme	detar	NC	_	NC	_	MOD(87)	_
94	delim	 	BLANK	BLANK	_	_	_	_
95	forme	horaire	ADJ	horaire	ADJ	n=s	MOD(97)	P
96	delim	 	BLANK	BLANK	_	_	_	_
97	forme	franprix	NC	_	NC	_	MOD(87)	_
98	delim	 	BLANK	BLANK	_	_	_	_
99	forme	gennevilliers	ADJ	_	ADJ	_	MOD(97)	_
100	delim	 	BLANK	BLANK	_	_	_	_
101	forme	luth	NC	luth	NC	n=s|g=m	MOD(97)	_
102	delim	 	BLANK	BLANK	_	_	_	_
103	delim	§	DELIM	§	_	_	_	_
104	delim	 	BLANK	BLANK	_	_	_	_
105	forme	du	P+D	de	P+D	n=s|g=m	_()	_
106	delim	 	BLANK	BLANK	_	_	_	_
107	forme	s	NC	_	NC	_	PREP(105)	P
108	delim	 	BLANK	BLANK	_	_	_	_
109	delim	§	DELIM	§	_	_	_	_
110	delim	 	BLANK	BLANK	_	_	_	_
111	forme	Par	P	par	P	_	MOD(119)	P
112	delim	 	BLANK	BLANK	_	_	_	_
113	forme	régime	NC	régime	NC	n=s|g=m	PREP(111)	_
114	delim	 	BLANK	BLANK	_	_	_	_
115	forme	l'	DET	le	DET	n=s	DET(117)	_
116	delim	 	BLANK	BLANK	_	_	_	_
117	forme	auteur	NC	auteur	NC	n=s|g=m	SUJ(119)	_
118	delim	 	BLANK	BLANK	_	_	_	_
119	forme	entend	V	entendre	V	n=s|t=P|p=3	ROOT	_
120	delim	 	BLANK	BLANK	_	_	_	_
121	forme	ici	ADV	ici	ADV	_	MOD(119)	_
122	delim	 	BLANK	BLANK	_	_	_	_
123	forme	X	NPP	_	NPP	_	OBJ(119)	_
124	delim	 	BLANK	BLANK	_	_	_	_
125	forme	ou	CC	ou	CC	_	COORD(123)	_
126	delim	 	BLANK	BLANK	_	_	_	_
127	forme	Y	NPP	Y	NPP	n=s|g=m	DEP_COORD(125)	_
128	delim	 	BLANK	BLANK	_	_	_	_
129	forme	)	PONCT	)	_	_	_	P
130	delim	 	BLANK	BLANK	_	_	_	_
131	forme	.	PONCT	.	_	_	_	P
132	delim	 	BLANK	BLANK	_	_	_	_
133	delim	§	DELIM	§	_	_	_	_
134	delim	 	BLANK	BLANK	_	_	_	_
135	forme	Ce	DET	ce	DET	n=s|g=m	DET(137)	P
136	delim	 	BLANK	BLANK	_	_	_	_
137	forme	passage	NC	passage	NC	n=s|g=m	_()	_
138	delim	 	BLANK	BLANK	_	_	_	_
139	forme	.	PONCT	.	_	_	_	P
140	delim	 	BLANK	BLANK	_	_	_	_
141	delim	§	DELIM	§	_	_	_	_
142	delim	 	BLANK	BLANK	_	_	_	_
143	forme	?	PONCT	?	_	_	_	P
144	delim	 	BLANK	BLANK	_	_	_	_
145	delim	§	DELIM	§	_	_	_	_
146	delim	 	BLANK	BLANK	_	_	_	_
147	forme	Il	CLS	il	CLS	n=s|g=m|p=3	SUJ(151)	P
148	delim	 	BLANK	BLANK	_	_	_	_
149	forme	s'	CLR	se	CLR	n=p,s|p=3	AFF(151)	_
150	delim	 	BLANK	BLANK	_	_	_	_
151	forme	agira	V	agir	V	n=s|t=F|p=3	ROOT	_
152	delim	 	BLANK	BLANK	_	_	_	_
153	forme	ici	ADV	ici	ADV	_	MOD(151)	_
154	delim	 	BLANK	BLANK	_	_	_	_
155	forme	de	P	de	P	_	MOD(151)	_
156	delim	 	BLANK	BLANK	_	_	_	_
157	forme	déterminer	VINF	déterminer	VINF	t=W	PREP(155)	_
158	delim	 	BLANK	BLANK	_	_	_	_
159	forme	les	CLO	les	CLO	n=p|p=3	_()	_
160	delim	 	BLANK	BLANK	_	_	_	_
161	forme	a	V	avoir	V	n=s|t=P|p=3	_()	P
162	delim	 	BLANK	BLANK	_	_	_	_
163	forme	ou	CC	ou	CC	_	COORD(161)	_
164	delim	 	BLANK	BLANK	_	_	_	_
165	forme	les	DET	les	DET	n=p	DET(167)	_
166	delim	 	BLANK	BLANK	_	_	_	_
167	forme	visées	NC	visée	NC	n=p|g=f	_()	_
168	delim	 	BLANK	BLANK	_	_	_	_
169	forme	que	PROREL	que	PROREL	_	MOD(175)	P
170	delim	 	BLANK	BLANK	_	_	_	_
171	forme	l'	DET	le	DET	n=s	DET(173)	_
172	delim	 	BLANK	BLANK	_	_	_	_
173	forme	on	CLS	on	CLS	n=s|p=3	SUJ(175)	_
174	delim	 	BLANK	BLANK	_	_	_	_
175	forme	peut	V	pouvoir	V	n=s|t=P|p=3	MOD_REL(167)	_
176	delim	 	BLANK	BLANK	_	_	_	_
177	forme	attribuer	VINF	attribuer	VINF	t=W	OBJ(175)	_
178	delim	 	BLANK	BLANK	_	_	_	_
179	forme	aux	P+D	à	P+D	n=p	MOD(177)	_
180	delim	 	BLANK	BLANK	_	_	_	_
181	forme	guides	NC	guide	NC	n=p	PREP(179)	_
182	delim	 	BLANK	BLANK	_	_	_	_
183	forme	de	P	de	P	_	MOD(177)	_
184	delim	 	BLANK	BLANK	_	_	_	_
185	forme	voyages	NC	voyage	NC	n=p|g=m	PREP(183)	_
186	delim	 	BLANK	BLANK	_	_	_	_
187	forme	et	CC	et	CC	_	COORD(177)	_
188	delim	 	BLANK	BLANK	_	_	_	_
189	forme	plus	ADV	plus	ADV	_	MOD(187)	_
190	delim	 	BLANK	BLANK	_	_	_	_
191	forme	spécifiquement	ADV	_	ADV	_	MOD(187)	_
192	delim	 	BLANK	BLANK	_	_	_	_
193	forme	au	P+D	à	P+D	n=s|g=m	DEP_COORD(187)	_
194	delim	 	BLANK	BLANK	_	_	_	_
195	forme	Guide	NC	guide	NC	n=s	PREP(193)	_
196	delim	 	BLANK	BLANK	_	_	_	_
197	forme	du	P+D	de	P+D	n=s|g=m	MOD(177)	_
198	delim	 	BLANK	BLANK	_	_	_	_
199	forme	Routard	NC	routard	NC	n=s|g=m	PREP(197)	_
200	delim	 	BLANK	BLANK	_	_	_	_
201	delim	§	DELIM	§	_	_	_	_
202	delim	 	BLANK	BLANK	_	_	_	_
203	forme	Tout	PRO	tout	PRO	n=s|g=m	SUJ(217)	P
204	delim	 	BLANK	BLANK	_	_	_	_
205	forme	d'	P	de	P	_	DEP(203)	_
206	delim	 	BLANK	BLANK	_	_	_	_
207	forme	abord	NC	abord	NC	n=s|g=m	PREP(205)	_
208	delim	 	BLANK	BLANK	_	_	_	_
209	delim	,	PONCT	,	_	_	_	_
210	delim	 	BLANK	BLANK	_	_	_	_
211	forme	l	NPP	_	NPP	_	MOD(203)	_
212	delim	 	BLANK	BLANK	_	_	_	_
213	forme	,	PONCT	,	_	_	_	P
214	delim	 	BLANK	BLANK	_	_	_	_
215	forme	qui	PROREL	qui	PROREL	n=s	SUJ(217)	_
216	delim	 	BLANK	BLANK	_	_	_	_
217	forme	a	V	avoir	V	n=s|t=P|p=3	ROOT	_
218	delim	 	BLANK	BLANK	_	_	_	_
219	forme	lui	PRO	lui	PRO	n=s|g=m|p=3	DEP(217)	_
220	delim	 	BLANK	BLANK	_	_	_	_
221	forme	une	DET	une	DET	n=s|g=f	DET(223)	_
222	delim	 	BLANK	BLANK	_	_	_	_
223	forme	visée	NC	visée	NC	n=s|g=f	OBJ(217)	_
224	delim	 	BLANK	BLANK	_	_	_	_
225	forme	plutot	ADV	_	ADV	_	MOD(227)	_
226	delim	 	BLANK	BLANK	_	_	_	_
227	forme	descriptive	ADJ	descriptif	ADJ	n=s|g=f	MOD(223)	_
228	delim	 	BLANK	BLANK	_	_	_	_
229	delim	,	PONCT	,	_	_	_	_
230	delim	 	BLANK	BLANK	_	_	_	_
231	forme	narrative	ADJ	narratif	ADJ	n=s|g=f	MOD(223)	_
232	delim	 	BLANK	BLANK	_	_	_	_
233	delim	.	PONCT	.	_	_	_	_
234	delim	 	BLANK	BLANK	_	_	_	_
235	delim	§	DELIM	§	_	_	_	_
236	delim	 	BLANK	BLANK	_	_	_	_
237	forme	Toutefois	ADV	toutefois	ADV	_	_()	P
238	delim	 	BLANK	BLANK	_	_	_	_
239	delim	,	PONCT	,	_	_	_	_
240	delim	 	BLANK	BLANK	_	_	_	_
241	delim	§	DELIM	§	_	_	_	_
242	delim	 	BLANK	BLANK	_	_	_	_
243	forme	Il	CLS	il	CLS	n=s|g=m|p=3	SUJ(245)	P
244	delim	 	BLANK	BLANK	_	_	_	_
245	forme	est	V	être	V	n=s|t=P|p=3	ROOT	_
246	delim	 	BLANK	BLANK	_	_	_	_
247	forme	possible	ADJ	possible	ADJ	n=s	ATS(245)	_
248	delim	 	BLANK	BLANK	_	_	_	_
249	forme	de	P	de	P	_	MOD(245)	_
250	delim	 	BLANK	BLANK	_	_	_	_
251	forme	citer	VINF	citer	VINF	t=W	PREP(249)	_
252	delim	 	BLANK	BLANK	_	_	_	_
253	forme	commes	ADJ	_	ADJ	_	MOD(255)	_
254	delim	 	BLANK	BLANK	_	_	_	_
255	forme	preuve	NC	preuve	NC	n=s|g=f	OBJ(251)	_
256	delim	 	BLANK	BLANK	_	_	_	_
257	forme	de	P	de	P	_	MOD(251)	_
258	delim	 	BLANK	BLANK	_	_	_	_
259	forme	cette	DET	cette	DET	n=s|g=f	DET(261)	_
260	delim	 	BLANK	BLANK	_	_	_	_
261	forme	appartenance	NC	appartenance	NC	n=s|g=f	PREP(257)	_
262	delim	 	BLANK	BLANK	_	_	_	_
263	forme	du	P+D	de	P+D	n=s|g=m	MOD(251)	_
264	delim	 	BLANK	BLANK	_	_	_	_
265	forme	moins	ADV	moins	ADV	_	MOD(267)	_
266	delim	 	BLANK	BLANK	_	_	_	_
267	forme	partielle	ADJ	partiel	ADJ	n=s|g=f	PREP(263)	_
268	delim	 	BLANK	BLANK	_	_	_	_
269	forme	au	P+D	à	P+D	n=s|g=m	MOD(251)	_
270	delim	 	BLANK	BLANK	_	_	_	_
271	forme	genre	NC	genre	NC	n=s|g=m	PREP(269)	_
272	delim	 	BLANK	BLANK	_	_	_	_
273	delim	&quot;	PONCT	&quot;	_	_	_	_
274	delim	 	BLANK	BLANK	_	_	_	_
275	forme	récit	NC	récit	NC	n=s|g=m	MOD(271)	_
276	delim	 	BLANK	BLANK	_	_	_	_
277	forme	de	P	de	P	_	DEP(275)	_
278	delim	 	BLANK	BLANK	_	_	_	_
279	forme	voyage	NC	voyage	NC	n=s|g=m	PREP(277)	_
280	delim	 	BLANK	BLANK	_	_	_	_
281	delim	&quot;	PONCT	&quot;	_	_	_	_
282	delim	 	BLANK	BLANK	_	_	_	_
283	delim	,	PONCT	,	_	_	_	_
284	delim	 	BLANK	BLANK	_	_	_	_
285	forme	la	DET	la	DET	n=s|g=f	DET(287)	_
286	delim	 	BLANK	BLANK	_	_	_	_
287	forme	présence	NC	présence	NC	n=s|g=f	MOD(245)	_
288	delim	 	BLANK	BLANK	_	_	_	_
289	forme	d'	P	de	P	_	DEP(287)	_
290	delim	 	BLANK	BLANK	_	_	_	_
291	forme	anecdotes	NC	anecdote	NC	n=p|g=f	PREP(289)	_
292	delim	 	BLANK	BLANK	_	_	_	_
293	forme	et	CC	et	CC	_	COORD(245)	_
294	delim	 	BLANK	BLANK	_	_	_	_
295	forme	-	PONCT	-	_	_	_	P
296	delim	 	BLANK	BLANK	_	_	_	_
297	forme	pour	P	pour	P	_	_()	_
298	delim	 	BLANK	BLANK	_	_	_	_
299	forme	guide	NC	guide	NC	n=s	PREP(297)	_
300	delim	 	BLANK	BLANK	_	_	_	_
301	forme	de	P	de	P	_	DEP(299)	_
302	delim	 	BLANK	BLANK	_	_	_	_
303	forme	voyage	NC	voyage	NC	n=s|g=m	PREP(301)	_
304	delim	 	BLANK	BLANK	_	_	_	_
305	delim	/	PONCT	/	_	_	_	_
306	delim	 	BLANK	BLANK	_	_	_	_
307	forme	visée	VPP	viser	VPP	n=s|g=f|t=K	MOD(299)	_
308	delim	 	BLANK	BLANK	_	_	_	_
309	forme	didactique	ADJ	didactique	ADJ	n=s	MOD(307)	_
310	delim	 	BLANK	BLANK	_	_	_	_
311	forme	=	P	=	P	_	MOD(307)	_
312	delim	 	BLANK	BLANK	_	_	_	_
313	forme	énonciateur	NC	_	NC	_	PREP(311)	_
314	delim	 	BLANK	BLANK	_	_	_	_
315	forme	anonyme	ADJ	anonyme	ADJ	n=s	MOD(313)	_
316	delim	 	BLANK	BLANK	_	_	_	_
317	forme	,	PONCT	,	_	_	_	P
318	delim	 	BLANK	BLANK	_	_	_	_
319	forme	dépersonnalisation	NC	dépersonnalisation	NC	n=s|g=f	MOD(307)	_
320	delim	 	BLANK	BLANK	_	_	_	_
321	forme	objectiisation	NC	_	NC	_	MOD(319)	_
322	delim	 	BLANK	BLANK	_	_	_	_
323	forme	du	P+D	de	P+D	n=s|g=m	DEP(319)	_
324	delim	 	BLANK	BLANK	_	_	_	_
325	forme	propos	NC	propos	NC	g=m	PREP(323)	_
326	delim	 	BLANK	BLANK	_	_	_	_
327	forme	VS	NPP	_	NPP	_	MOD(325)	_
328	delim	 	BLANK	BLANK	_	_	_	_
329	delim	-	PONCT	-	_	_	_	_
330	delim	 	BLANK	BLANK	_	_	_	_
331	forme	pour	P	pour	P	_	MOD(307)	_
332	delim	 	BLANK	BLANK	_	_	_	_
